什么样的路不能走?... 答案：电路
喝可乐可以再来一罐，买洗衣粉也可以买大送小，那请问什么店不能买一送一？ 答案：棺材店 
做什么事情最开心？ 答案：开心手术 
圣女贞德是哪国人？ 答案：天国 
为什么会有悲伤茱丽叶？ 答案：因为有爱的罗密欧 
为什么天上会有星星？ 答案：证明爱因斯坦的相对论天上有星星地下也有猩猩. 
当跳到黄河也洗不清的时候，该如何澄清自己？ 答案：跳到澄清湖里 
骑马的蒙古人，是怎么走路的？ 答案：走马步 
为什么大多数的人都不喜欢过32岁的生日？ 答案：没有人会在蛋糕上插上三长两短. 
闭着眼睛也看得见的是什么？ 答案：梦 
刚念幼儿园的皮皮才学英文一个月却能毫无困难地和外国人交谈，为什么？ 答案：外国人用国语与他交谈 
台湾人去夏威夷度假，结果在海边溺水，高喊救命，却没人理他，为什么？ 答案：没人听懂中文 
拿破仑指挥作战时，高喊“冲啊！”为何所有士兵却是动也不动？ 答案：拿破仑说的是中文士兵怎么听得懂 
小龙的爸爸看到小龙书包里塞满了钞票，却视若无睹，为什么？ 答案：那是儿童玩具 
小燕站在路中央，一辆时速90公里的汽车急驰而过，她却未被撞死，为什么？ 答案：小燕站在天桥上 
一只母猪带着10只小猪过河，背叼3只，过河后一算，还是10只小猪，为什么？ 答案：母猪不会算数 
有一天，小英看到小明随即惊叫，小明见状，也跟着惊叫，为什么？ 答案：因为他们正在玩游戏 
小王开医院，生意一直不是很如意，一天他的医院突然车水马龙排了一大堆人，为什么？ 答案：因为他在医院门口贴了今日住院3折 
身高168公分的小华，有一天去看棒球赛回来却变成170公分，为什么？ 答案：因为他被击中长出了一个两公分的包 
在赛车比赛中，有辆车撞上大树，车子完全撞烂，开车者却毫发无伤，为什么？ 答案：那是遥控车比赛 
住在台湾乡下的老童，每早都有公鸡叫起床，现在到了美国儿子家，无论公鸡如何叫，老童都醒来，为什么 答案：美国公鸡用英语发音 
歹徒抢劫MTV店，朝店主开了一枪，店主情急之下抽出一卷影带挡，居然平安无事，为什么？ 答案：歹徒拿得是水枪 
政府在去年的中秋节提倡“不要让嫦娥笑我们脏”，今年却没有，为什么？ 答案：因为嫦娥去年就笑死了 
鸡蛋里面挑“骨头”表示故意找人麻烦，那鸡蛋里面挑“石头”又代表什么意思？ 答案：小鸡得了肾结石必须挑石头了 
小明去参加讲笑话比赛，一路上小明一直用冰块敷嘴巴，为什么？ 答案：怕笑话到时候不新鲜 
当女朋友跟你要天上的星星时，你该怎么办？ 答案：给他一拳再说他要不要月亮 
四月一日是属于谁的节日？ 答案：你的 
为什么夏天才有台风？ 答案：因为他要冬眠 
为什么闪电总是比雷快？ 答案：因为雷公说女士优先 
一个即将被枪决的犯人，他的最大愿望是什么？ 答案：穿上防弹衣 
身为中国人，你知道为什么中秋节一定要吃月饼吗？ 答案：你想吃太阳饼也行呀 
小宝的妈，看了奶粉广告后，去买了加拿大的无污染奶粉，结果小宝吃了，还是拉肚子，为什么？ 答案：因为那是用台湾的水泡的 
大头买了一双鞋子，从来没穿过，提着鞋子到处走，到底是为了什么？ 答案：他说鞋子穿久会坏 
小毛喜欢运动，有一天他在摄氏38高温大太阳下做很激烈的运动，为什么也居然不会流汗？ 答案：他在水里游泳 
白冰冰与关公生的双胞胎叫什么名字？ 答案：粉红派对 
树上有100只鸟，用什么方法才能把它们全部抓住？ 答案：用照相机 
小华请李明依签名，李明依却这样都不肯答，为什么？ 答案：小华请他签在身份证的配偶栏里 
什么时候是老二最爽的时候？ 答案：当老大不在不能欺负老二时 
小陈有一天不小心撞到电线杆，为什么连手也会痛？ 答案：因为小陈狠狠地揍了电线杆一顿 
著名歌手罗大佑有一天出现在热闹的西门町街头，为什么却没有半个人认出他来？ 答案：因为他忘了带墨镜 
为什么爱斯基摩人是唯一住在北极的人呢 答案：因为他们是爱死寂寞的人 
超人和女超人做完俯地挺身后，地上各有一个洞及二个洞，是怎么回事？ 答案：超人用单手女超人用双手 
何时是离婚最好的日子？ 答案：1月23日(自由日) 
为什么一架纸飞机，造价一亿台币？ 答案：那是用一张一亿台币的纸票折的 
什么时候黄信介只能选择统一，不能独立？ 答案：买鲜奶的时候 
日子过得不平顺时，应该怎么办？ 答案：拿"飞利浦"熨平 
台湾的红绿灯和日本的有何不同？ 答案：台湾的是参考书的 
有一位老奶奶在看报，一只蚊子正想要叮她，老奶奶手和脚都没动，为什么蚊子会突然死掉了？ 答案：因为他被老奶奶的皱纹夹死了 
怎么样才能使男人一见钟情？ 答案：别让他看你第二眼 
二位爸爸、一个儿子同处一室，三人合计却有九只手，为什么？ 答案：祖孙三代同是扒手 
波斯湾战争中，为什么美军在夜间死伤比伊军少？ 答案：美国黑人较多 
志明说自己可以一面吹口哨，一面刷牙，你猜他是怎么办到的？ 答案：他戴的是假牙 
富商陈氏书房之中，虽然墙上有三个弹孔，但他的身上却没有外伤，你猜是怎么死的？ 答案：嘲笑枪手枪法太差笑死了 
小玲放学回家后，发现自己忘了带钥匙，她该怎么做才能进家门呢？ 答案：门没锁开开就好了 
去年遗传学界最伟大的发现是什么？ 答案：麻雀变凤凰 
有什么事比亲眼看着好朋友上电椅更痛苦？ 答案：他临死还握着我的手 
什么老鼠爬最慢？ 答案：帮乌龟身上的老鼠. 
艺人方芳和方芳芳有什么关系？ 答案：一个是方的平方一个是方的立方. 
煮什么汤最“鲜”？ 答案：煮"鱼"肉汤和"羊"肉汤 
顶地立天是什么意思？ 答案：倒立 
飞行员从来不吃哪一种食物？ 答案：醉鸡 
有只小北极熊早上醒来后一直追问熊妈妈，他是不是一只小浣熊，他妈妈回答：“你当然是北极熊”，可是他为什么还是不相信？ 答案：因为他觉得很冷 
有一段100公尺长的铁轨上面每隔1公分放一条横木，请问共有几条横木？ 答案：0,因为钢轨上不放横木 
有一天，有一班学生正在小考，有一个学生，他答出来之后，为什么老师还打了他一顿？ 答案：因为他把答案念给同学听 
不孕症妇女的孩子，会不会遗传她的不孕症？ 答案：不孕症妇女根本就生不出孩子 
每个人每天都会读到哪个英文字母？ 答案：Z 
小男孩和小女孩在一起不能玩什么游戏？ 答案：不能玩猜拳(两小无猜0 
某人患了高血压，医生说不要吃太咸就没事了，但是他一听却决定要搬家，为什么？ 答案：因为他住在台南的盐水打算搬到台北的淡水 
一家洗衣店招牌写着“二十四小时交货”，今天小高拿去洗，为何老板说要三天后才能拿到？ 答案：因为他是抓黑枪不是抓白枪 
一家洗衣店招牌写着“二十四小时交货”，今天小高拿去洗，为何老板说要三天后才能拿到？ 答案：因为每天工作八小时三天正好24小时 
心有余而力不足作何解释？ 答案：我知道意思但不会解释 
小明每天都和妈妈上街买菜，每次都捉着妈妈的裙子，但这次却迷路了，为什么？ 答案：因为那天妈妈穿着迷你裙 
来电了怎么办 答案：看电视呀 
一个人走夜路，最怕听到哪一句话 答案：请问你是什么血型 
为什么食人族只有在烹煮女明星时要放入一大堆牛粪来调味？ 答案：香水味太浓他们吃不消 
你手上拿着弓箭，夜晚看见两个狼人，你会先射哪一个？ 答案：月亮 
老丁身高一米六八，为什么死了之后身高却变成了一米七二？ 答案：他被绞绳绞死的 
新人结婚，新郎（娘）不是你，在她（他）的婚礼上，你如何报一箭之仇？ 答案：在新朗新娘送客笑着对他们说再见 
什么妖怪，大家都不害怕？ 答案：难怪 
为什么越有钱的人死了，棺材都越大？ 答案：翻身比较方便 
出门看天色，进门看脸色，女鬼来敲门时要看什么？ 答案：看谁最色 
七个好人和三个坏蛋同搭一艘渡轮，中途船翻了，七个好人沉入水中淹死了，三个坏蛋却很快就浮出水面，为什么？ 答案：因为蛋坏了以后才能浮上来. 
碰到什么节的时候，人人都很难过？ 答案：雨伞节 
走夜路犯了烟瘾，有烟无火时该怎么办？ 答案：看看有没有鬼火可以点 
如果你在尼斯湖划船时，水怪突然在附近冒了出来，而你却忘了带相机，这时该怎么办？ 答案：别担心别的游客会拍下你最后的镜头. 
杨婆婆经常把嘴巴打开做痴呆状，家人劝她闭起来，免得苍蝇飞进去了，为什么她却坚持不肯？ 答案：她说:"不打开,里边的苍蝇怎么飞进来?" 
月圆之夜，全世界的鬼魂都聚集在一起开狂欢大会，偏偏只有狼人没有到，为什么？ 答案：狼人是妖怪不是鬼 
小庄终于考上台大，有天晚上在校园里，他竟然看到了一个死去多年的高中同学，为什么？ 答案：那是解剖台上的尸体 
秦始皇、斯大林和希特勒一起在地狱受审，同样被判下油锅的酷刑，为什么秦始皇、斯大林面前都是一锅滚烫的油，希特勒的却是热开水？ 答案：为他行刑的是犹大人 
什么时候太阳会打从西边升起？ 答案：从镜子里 
贝多芬给了我们什么样的启示？ 答案：背了就会多分 
、人死了为什么要埋在地下？ 答案：去阴阳地府比较顺畅 
仁慈的皇帝却常常灭人九族来惩罚罪犯，为什么？ 答案：怕有人伤心 
一个被枪毙而死的鬼，最大的烦恼是什么？ 答案：喝水时会漏 
在学校犯错被逮到之后当然会被记过，那为什么还要写悔过书呢？ 答案：以便励治下次再也不要被抓到 
除了火车以外，世界上什么车最长？ 答案：赛车 
一个笼子了养了十只鸟，小马开枪打死了三只，请问还剩多少只小鸟？ 答案：十只三只断气倒地七只活着 
如果你的朋友是个赛车选手，不慎在比赛中撞断腿，你该怎么安慰他？ 答案：希望他下次比赛不要半途而废 
有一天小董上完物理课后，突然想效法牛顿，就到苹果树下，这时也刚好掉下一颗苹果，砸到小董的头，你猜小董怎么说？ 答案：这个苹果是熟的 
据说前一阵子“ET”离开地球以后，英文字母只剩24个字，但是最新消息听是15个字，为什么？ 答案：因为UFO飞走了,WC臭死了AIDS生病住院 
相传中国的龙门瀑布是块灵秀之地，鲤鱼凡是跃过龙门，就能变成龙，如果失败就会变成乌龟，于是很多鲤鱼翻山越岭想尽办法要一步登天，但是成功的却很少，那么那些失败变乌龟的都跑到哪儿去了？ 答案：正在这里听故事. 
为什么长颈鹿的脖子那么长？ 答案：因为他的头那么高需要长脖子来接起来. 
日月潭的中间是什么？ 答案：是月字 
厕所里应该摆什么花？ 答案：五月花 
有一个人想要过河但水很急，这里有一把梯子和木头，但梯子还差10公尺，木头只有5公尺，请问他要怎样才能过河？ 答案：走桥 
一辆火车由基隆到高雄全程需要6个小时才可到达，如今行使了3个小时，火车现在应该在什么地方？ 答案：在铁轨上 
吸血鬼卓九勒，挨饿了二个月，好不容易找到一个男人吸血，没想到血一吸完，卓九勒一命呼，这究竟是怎么一回事？ 答案：因为两个血型不一样 
小陈是个大家公认的穷光蛋，但是他居然能日掷千金，为什么？ 答案：小陈是银行的运钞员 
小毕是学校出了名的逃课王，几乎有课必逃，但是有一节课，他却不敢逃，永远准时不缺课，请问是哪一课？ 答案：下课 
休息的意义是为走更远的路，那么补考的作用是什么？ 答案：为了念更多的书 
考一个亲戚称呼的问题，如果你曾祖父的儿子，你叫爷爷，那么你祖父的儿子，就是娶了你妈妈的那个人，你应该叫他什么？ 答案：儿子 
华盛顿小时候砍倒他父亲的樱桃树时，他父亲为什么不马上处罚他？ 答案：因为他手头上还有斧头 
美人鱼最怕遇到谁 答案：加菲猫 
麦可杰克森的儿子是幸福的，为什么？ 答案：他可以把他爸爸的鼻子拿下来玩 
主演最多电影的是谁？ 答案：领街主演每片都有呀 
妈妈叫小民去拿碟子来装菜，小民拿来了，却被骂了一顿，为什么？ 答案：他拿的是光喋 
释迦牟尼是男人还是女人？ 答案：都不是他是神 
哪一种狗不怕狂犬病？ 答案：二郎神的神犬狗 
唐老鸭最怕什么事？ 答案：发现原来自己是白天鹅 
不小心打破妈妈最喜欢的花瓶，该怎么办？ 答案：赶快假装昏倒 
强尼每天晚上做梦都梦到猫要吃他，他又不是老鼠，为什么？ 答案：他白天在迪尼斯扮演米老鼠 
王小明要跳水了！可是为什么围观的群众愈来愈多，却没有人想救他？ 答案：该地正在举行跳水比赛他是参赛选手之一 
人为什么要上厕所？ 答案：防止绝种. 
超人走到电话亭前突然哭了起来为什么？ 答案：他严重发福所以进不去了 
月黑风高的晚上，传来一阵又一阵的狗吠声，外面却突然响起“咚咚咚”的敲门声，你猜会是谁呢？ 答案：不管是谁劝你还是别开门好 
两岁的叮当为什么看到隔壁的欧巴桑都叫她“伯伯”，而对方却一点也不生气？ 答案：因为他是阿拉伯"人 
大姐得到了金币，她为什么不要？ 答案：解金币送给你他要去夏威夷 
许仙遇见白蛇后，发生了什么事？ 答案：不知道因为他被白蛇吓倒了 
什么钱最实用却不能用？ 答案：死人钱 
谁不能唱“哥哥爸爸真伟大”？ 答案：亚当和夏娃 
下雨天为什么要撑伞？ 答案：如果你喜欢, 
电视对人类最大的贡献是什么？ 答案：让世界了解了准时的好处 
做什么事情非得一个男生和一个女生不可？ 答案：扮演"雄""雌"大盗 
孔子为什么要周游列国？ 答案：因为飞机没有发明 
在火车站绝不可能发生什么事？ 答案：既然不可能发生当然不能发生 
既没下雨也没出太阳，某先生为什么要撑伞？ 答案：他是神经病 
男生和女生有什么共同点？ 答案：都是人 
哪一种草的生命力最强？ 答案：墙头草风吹两边倒 
五加五等于多少？ 答案：两只手 
在什么情形下你会觉得自己很抖？ 答案：练外丹功的时候 
如何保持青春永驻？ 答案：用奇笔写它不要擦去 
一艘正在水中航行的船为什么会突然消失得无影无综 答案：因为小宝已经洗完澡把它拿走了 
怎么称呼一只不会叫的狗？ 答案：狗 
一只很会叫的狗，我们叫它什么？ 答案：吵死人 
又小又大的是什么？ 答案：尖 
有一样东西，你不需要它，却又不能不要它，“它”到底是什么东西？ 答案：大便 
张先生拿着针到处刺人，为什么没有人责怪他？ 答案：他是针灸师 
月亮在什么时候完全不一样？ 答案：在国外的时候因为外国的月亮比较圆 
要如何教一只螃蟹爬山？ 答案：要他横着上去就行了 
二十世纪最出风头的超级巨星是哪一位？ 答案：海尔波普慧星千年才见一次 
什么句子可以用来形容海尔波普彗星？ 答案：一失足成千古恨 
地上有一个五十元铜板，为什么没有人要捡？ 答案：不是不捡而是他陷到柏油路里了必须得挖 
出太阳为什么要撑伞？ 答案：总不能象形字阿拉伯人蒙面纱戴头巾 
美丽为何一天到晚吐舌头？ 答案：她是狗呀 
阿姆斯壮登陆月球，他说的第一句话是什么？ 答案：美式英语 
五根手指头少掉两根会变成什么？ 答案：残废 
大华坐公车为什么不用付钱？ 答案：因为公车还停在站上 
不会讲外语的大明和不会讲中文的外国人有说有笑，他是怎么办到的？ 答案：他们两讲哑语呀 
武松到底犯了什么罪，为何被抓？ 答案：打死保护动物老虎 
“天赋权利”的最佳例子？ 答案：吃母奶 
不管是谁，只要看到他，就会给他钱，他到底是谁，为什么有这么大的魅力？ 答案："好兄弟" 
什么人最喜欢拍照？ 答案：观光客 
最具有经济价值的瓜类是哪一种？ 答案：南瓜可以变成灰姑娘的马车 
小红帽从大野狼面前走过，大野狼为何没有发现她？ 答案：小红帽今天没有戴帽子 
你知道最大的捐血中心由谁负责吗？ 答案：蚊子 
“头大了！”表示什么意思？ 答案：大头的孩子长大了 
马要如何过河？ 答案：走"日"字步 
当你对一件事忍无可忍时，你会怎么处理？ 答案：赶快上厕所 
如果恐龙没有绝迹，世界将会变成什么样子？ 答案：再也没有稀罕他的存在 
榴莲和地心引力有什么关系？ 答案：幸好牛顿不是坐在榴莲树下发现地心引力的 
大力水手卜派吃了一罐菠菜，为什么没有变成大力士？ 答案：他拿的是婴儿食品 
上台领奖致感谢辞时，可以不必说哪句话？ 答案：谢谢各们爸爸妈妈 
歌仔戏和歌剧有什么不一样？ 答案：其实是一样的一个是传统歌仔戏,一个是西方歌仔戏 
苹果和地心引力有什么关系？ 答案：农夫不会等到地球发生效力 
想想看，如果外星人来到地球，他说的第一句话将会是什么？ 答案：外星话 
要如何利用一块钱赚钱？ 答案：打电话要别人要钱 
伍子胥过昭关，为何在一夜之间头发全变白了？ 答案：他忘了带染发剂 
现今最流行的电子鸡带来什么风潮？ 答案：让商人大发利市 
左眼跳财，右眼跳灾，如果左右眼皮一起跳呢？ 答案：破财消灾 
为什么很多学生上课会打瞌睡？ 答案：前几节没有睡饱 
为什么很多学生上课会打瞌睡？ 答案：前几页没有睡袍 
麦克杰克逊为什么要去做漂白手术？ 答案：怕遭到不白之冤 
猜猜看：今年圣诞夜，圣诞老人第一件放进袜子里的是什么东西？ 答案：也自己的脚 
老子为什么要骑青牛出海关？ 答案：老子高兴 
小美养了一头凶猛的狼犬，为什么它却从不咬胖子？ 答案：他只吃瘦肉 
目前国内哪些人拒二手烟最积极？ 答案：坚持抽第一手烟老烟枪 
在台湾想从政，除了台语、国语还要会哪一种话？ 答案：肢体语言 
教堂向祖父办告解之前，都要先做那件事？ 答案：犯罪 
阿辉从来不念书。为何也能成为全校的模范生？ 答案：他是聋哑生 
一岁的小毛不小心吞下了一枚1元的硬币，爸爸紧张的将他倒提起来往背上一拉，可是小毛吐出来的却是一枚10元硬币，这时该怎么办？ 答案：继续喂他吃一元的硬币 
三个苹果吃掉一个，为什么还是剩下三个？ 答案：两个在外面一个在里面 
被人家放了鸽子还很高兴的是谁？ 答案：鸽子 
什么叫做“缓兵之计”？ 答案：改天再告诉你 
女超人身上哪一个洞最小？ 答案：耳洞 
10除2却不等于五，为什么？ 答案：情报小组除去两名汉奸还有8名 
上课偷看“脑筋急转弯”，如果被没收了，谁最高兴？ 答案：老师的孩子 
彩色丝袜已经变成一种流行，为什么红色系列在台湾销售得最差？ 答案：因为台湾萝卜腿的女孩子太多了 
一条专门吃人的鳄鱼为什么也能获准进入天堂？ 答案：因为他吃了一个神父 
老王去年因为骂警察是猪而被罚款一万五千元，为什么今年又骂警察是猪，却被罚了三万元？ 答案：因为猪肉涨价了 
小王开着空计程车出门，为什么一路上都没有人向他招手租车？ 答案：他走的是高速公路 
患者张开嘴巴之后，牙医吓了一跳说：“哇！你的牙齿蛀了好大一个洞！哇！你的牙齿蛀了好大一个洞，一个洞！”请问他为什么要说两遍呢？ 答案：因为那是回音 
大富翁快要死了，却担心不成器的儿子坐吃山空，他该怎么办才好 答案：规定他们以后站着吃 
阿火在营光日的考试全部答对，为什么却没得到满分？ 答案：因为考的是是非题 
为什么男生年满廿岁就一定要入伍当兵？ 答案：因为兵不可以在家当 
攻城时为什么都要杀个鸡犬不留？ 答案：加菜 
为什么有很多女孩子嫁给职业军人？ 答案：吃馒头不用涮碗 
